tournament,year,match_pages
euro,1960,final_tournament
euro,1964,final_tournament
euro,1968,final_tournament
euro,1972,final_tournament
euro,1976,final_tournament
euro,1980,Group_1;Group_2;knockout_stage
euro,1984,Group_1;Group_2;knockout_stage
euro,1988,Group_1;Group_2;knockout_stage
euro,1992,Group_1;Group_2;knockout_stage
euro,1996,Group_A;Group_B;Group_C;Group_D;knockout_stage
euro,2000,Group_A;Group_B;Group_C;Group_D;knockout_stage
euro,2004,Group_A;Group_B;Group_C;Group_D;knockout_stage
euro,2008,Group_A;Group_B;Group_C;Group_D;knockout_phase
euro,2012,Group_A;Group_B;Group_C;Group_D;knockout_phase
euro,2016,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;knockout_phase
euro,2020,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;knockout_phase
copa,1999,Group_A;Group_B;Group_C;knockout_stage
copa,2001,Group_A;Group_B;Group_C;knockout_stage
copa,2004,Group_A;Group_B;Group_C;knockout_stage
copa,2007,Group_A;Group_B;Group_C;knockout_stage
copa,2011,Group_A;Group_B;Group_C;knockout_stage
copa,2015,Group_A;Group_B;Group_C;knockout_stage
copa,2016,Group_A;Group_B;Group_C;Group_D;knockout_stage
copa,2019,Group_A;Group_B;Group_C;knockout_stage
copa,2021,Group_A;Group_B;knockout_stage
world,1930,Group_1;Group_2;Group_3;Group_4;knockout_stage
world,1934,final_tournament
world,1938,final_tournament
world,1950,Group_1;Group_2;Group_3;Group_4;final_round
world,1954,Group_1;Group_2;Group_3;Group_4;knockout_stage
world,1958,Group_1;Group_2;Group_3;Group_4;knockout_stage
world,1962,Group_1;Group_2;Group_3;Group_4;knockout_stage
world,1966,Group_1;Group_2;Group_3;Group_4;knockout_stage
world,1970,Group_1;Group_2;Group_3;Group_4;knockout_stage
world,1974,Group_1;Group_2;Group_3;Group_4;Group_A;Group_B;knockout_stage
world,1978,Group_1;Group_2;Group_3;Group_4;Group_A;Group_B;knockout_stage
world,1982,Group_1;Group_2;Group_3;Group_4;Group_5;Group_6;Group_A;Group_B;Group_C;Group_D;knockout_stage
world,1986,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;knockout_stage
world,1990,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;knockout_stage
world,1994,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;knockout_stage
world,1998,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage
world,2002,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage
world,2006,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage
world,2010,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage
world,2014,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage
world,2018,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage
world,2022,Group_A;Group_B;Group_C;Group_D;Group_E;Group_F;Group_G;Group_H;knockout_stage